bibkey,ss_id,all_ss_ids,comment
Gome19,b5f1ef811b206720957f6c4412c9a2ad9bf480c9,,single doi match
Gonz20,44cb242be984781ad380e9f785157c13384d0026,,single doi match
Gonz20a,d0760faf253e27b6c105d76d06acc4c6ab3674c7,,single doi match
Gonz21c,14ac8b3d719781be45a46e7d33fdee702eecce2d,,single doi match
Gree16,0ab99aa04e3a8340a7552355fb547374a5604b24,,single doi match
Grin13,b47eb89360053492a2c57e7474301f12260ac1ea,,single doi match
Grin13a,d80fa93bf60f2f3635eec2903b09e9848ecacf03,,single doi match
Grin13b,8be6e1c3b1224ea96f6ddbfde8153e32ab9a1f75,,single doi match
Grin15,2da30c95504bfe2cb1e3c1058531db3226ac7780,,single doi match
Grin16a,2ebb428ce82dc699122e1a98d518e48d0c068ed0,,single doi match
Grin16b,226df2c0315fcd6ac45413e70d3a0bac3e1b1072,,single doi match
Grob20,1479138d85b4af9d10bd3c2301ea68d2406e8d85,,single doi match
Gube12,2b40545a6af971b370932b854150e74c623f7357,,single doi match
Gube13,024137b64819b9f18837d405e4ecff2572468c80,,single doi match
Gube14,15e91f8c7fc112ced9946aef9761fa92a1f235c0,,single doi match
Gube15,9356a0862ad0dd269e24f09924d2d1f99ea7fda9,,single doi match
Gube15b,60149277867d3e86391c0aa4ce5720e1a1e5cb48,,single doi match
Gube16,7620ef3e0f908161af57191c25b7ed849734f1cf,,single doi match
Gube16a,43e4b8914c087b637ae22b6b4f85f70e31e6e4e8,,single doi match
Habi20,13122b7c0ef4a596875eff981651d60140e67417,"['13122b7c0ef4a596875eff981651d60140e67417', '142f9f46a9ca5a99de4c7b819d801d245a9334ba']","multiple doi matches ['13122b7c0ef4a596875eff981651d60140e67417', '142f9f46a9ca5a99de4c7b819d801d245a9334ba'], took the first one with most citations"
Hadj22,df2cedb6640c9c7e0627fb03cf26b49e82a154b0,,single doi match
Hage21,ac718bfeb8188b8540e72b81b81ff22c9f5f7b44,,single doi match
Hago18,d0df46743b04218d7a0800c82aa2ea775973a9ae,,single doi match
Hali19,06578dbe1d4b788eb0b6b0c84e3d4fae0ddf3a37,,single doi match
Hamb08,f7c501d095bf0a0e58967aa336ab63ff912de195,,single doi match
Hamb10,3f99aa1cc1a5175b1c0bca3b0c4747724cf87757,,single doi match
Hamb11,057100455efca559a6d38d31ed35cf56bdefc958,,single doi match
Hamb12,17a88c8b4c36924e5d0b7d9f1a6e6b99a327c535,,single doi match
Hamb12a,be606a6037f048bd51e9dea69e7f324900f3e0f0,,single doi match
Harl22,f8fb57d8601ac0189ea80c6412232ac6771e51f5,,single doi match
Hart10,712af65240c4f97f06da6178849a64f218a7cadc,,single doi match
Hees19,560e2100afbc64953c5155459b1f459f6e55003e,"['560e2100afbc64953c5155459b1f459f6e55003e', '65e6296fe63fbf76519ef01e16b5e62bfabbc3ca']","multiple doi matches ['560e2100afbc64953c5155459b1f459f6e55003e', '65e6296fe63fbf76519ef01e16b5e62bfabbc3ca'], took the first one with most citations"
Heim09,75352a06f8f39701d59c3a3a78e5cce6dd469ea9,,single doi match
Heri19,aefbf6afa8d75939106323e38e06c7b8b85ce954,,single doi match
Heri19a,e50f0d6b5c1b710f13e9ebe2b3e2448518c8e26d,,single doi match
Heri19b,8dff3f1ad2cb2f512ea8c8ac7523699b4f9e82c5,,single doi match
Heri20,1138a76e62c45bfa0a1daddf7ac45f826c2d5222,,single doi match
Heri21,3c649c514443775e25e096cff35d58e393659ac4,,single doi match
Herm19,fa59a6c087ec8b88c3828a95de5e0662cd2eee7e,,single doi match
Herm20,3f9c978ea44205703f337574f5e07eb9d7ecb523,,single doi match
Herm21,3881ae992914cd50a14782104170cc5dd5d9ae7e,"['3881ae992914cd50a14782104170cc5dd5d9ae7e', 'a4d4e42f1accfd77f378549c776b7c850afbcda5']","multiple doi matches ['3881ae992914cd50a14782104170cc5dd5d9ae7e', 'a4d4e42f1accfd77f378549c776b7c850afbcda5'], took the first one with most citations"
Herm22,1d7cb6f85cf6478da6fef4d5630f02aa3a053f8c,,single doi match
Heuv15,1fd0e5d0355bb0798803da2ff5e743d1039819bb,,single doi match
Heuv16,2e5d61cc075f2a07f75282ae00b2da4a727f5795,,single doi match
Heuv17,f8d5915101494c63b044909b93b821caa688f220,,single doi match
Heuv17b,aa1ddbeb489b3e103f3dd681ae20ac0014af2209,,single doi match
Heuv18,80d1a72e3c8bf0e3457492b1f27a05ad6f5dd9a8,,single doi match
Heuv18a,1427f469d6fb172d200d6f25837cbeaddad425e5,,single doi match
Hoek11a,7c7195b2121495ba8290bd5522c630ddea105ed4,,single doi match
Hoes11,8cce5c02b19e5f77784efa75cc6aac29c507a602,,single doi match
Hoes12,f2b3202d9635c6ec6114a21814eb02638ac82a05,,single doi match
Hoes12a,9b54fea05c39e8c1db7bcf55a970a1cc598a3398,,single doi match
Hoes13,c8656b4c7a205284545931f3c11b92f7219c5ffa,,single doi match
Hoff16,f8e3b007a829e53c9a9f7527d26d495c8463dd7f,,single doi match
Hoge10,9b206a6f4f5b4f3c98394e8109e7a04cf730d9d4,,single doi match
Hoge10a,08e4dedc42f4673f3af944da663d5f50ada17176,,single doi match
Hoge12,561164998d2d1b53d5709c2ddb84f4c306a82624,,single doi match
Hoge13,a87ed4355c439f449612db464993e47922629779,,single doi match
Hoge13a,3740f221395f8283dfc90cf82449321c96034d73,,single doi match
Hoge15,bcdc96b82387f57a2cfda77682add942d2fe798c,,single doi match
Hoge17,9ec13cc1fde3f48b96db330a11c523621f2ef6de,,single doi match
Holl14,56a1fe85a51f377f8985f38d5798b7037f90febb,,single doi match
Holl16,0dc755ded5e6a44e9ce9ac47bc69aa5573b458f0,,single doi match
Holl16a,0b86365ed2e292ae5da868946983b31f7a9dc391,,single doi match
Holl16b,e034856f4f0949b6ebbe7d4161e253719fdcb399,,single doi match
Holl17,907cc7a4cdfde916a2295b9e459564f6d51e1d24,,single doi match
Holl17a,9ca57befc51aee0d4bf6f19e951a776e4d1c9d82,,single doi match
Holl17c,817c6ab7fde2a45210b6b80c4713b9147b3eba19,"['16352b9da95fb7a2643f617b61c56669b07879c8', '817c6ab7fde2a45210b6b80c4713b9147b3eba19']","multiple doi matches ['16352b9da95fb7a2643f617b61c56669b07879c8', '817c6ab7fde2a45210b6b80c4713b9147b3eba19'], took the first one with most citations"
Hols15,5d3d4d3b4197a9f121cd1a287dc9a80c5dfbb1ad,,single doi match
Hols18,4458f33f0650bba1f12dc16956608386c46b76b0,,single doi match
Hoop09,6845a171a50763bf6409c2729dc4d368860e0baf,,single doi match
Hoop10a,adbadde7bbe22a4cb6e99e2f39fea781fff1c048,,single doi match
Hoop10c,0af2a2b7fadd371abc1c8c46b6b37433478ae638,,single doi match
Hoop12,846de900573aebb1a0f2b36dfd7d080cad255552,,single doi match
Hoss21,21face92913ea6919840f59cd3cd5e84e70ebc7d,,single doi match
Hu19,b5c3309a499f0e8a3207f6b25b34ead5b0cbae9e,,single doi match
Huis07,cce569e05666a3817a93c128c705733c5c42df5d,,single doi match
Huis19,37e39166873ad1f981a845eda627f3d161f105e1,,single doi match
Huis21,4fff96d3fa57f3a194b03f5524b9f45fc67dcb00,,single doi match
Huis96,8224f913e000d00d30ddc6e5fcf7486adc9e31c3,,single doi match
Huis98,93c05396532b476b41337b34a14b5d044f5057ef,,single doi match
Huis98b,056af49e670a8c5385d7c39977acd8d49de9fff0,,single doi match
Hump17,b704867c644d95b8ddc980b19b3805181b7a28ab,,single doi match
Hump18,0c7b80f04984d9cea99337c21cee93a69dae27dd,,single doi match
Hump20,4ad04c0dce1e8a12c49bae26252f476383ec3273,,single doi match
Hups08,9d77d77caa82df8186ac09d9f44131eab2f3b985,,single doi match
Hups09,33d9ad8ffba587147b72dbf8e166f30d5170ee99,,single doi match
Hups09a,47893c326cd32e8f34d35bd8c0b6de0ed27d9de2,,single doi match
Hups10,907b1d90f89dd803460133cc5f005797514ded42,,single doi match
Hups13,68703321fc18fde3cd4a568b328280f69b594af8,,single doi match
Hups13a,2bde6fd417a50bf9f52eda4fa9a1dc7a3a2a5853,,single doi match
Igle09,b5efadc7ed85042a5af820dfc430993a08ba00af,,single doi match
Isgu03a,e818125c17499f8c23accc7ed09b9c7bed102724,,single doi match
Isgu04,edcb88076df807a341f31128b3c94748a4df8003,,single doi match
Isgu07,b717ba083290575d9176a4620c3abe46a949cbeb,,single doi match
